2024-04-25 23:23:14,871 - INFO - File Path: ./cve_dataset/train
2024-04-25 23:23:14,871 - INFO - func_name, vul_type, true_label, pred_label
2024-04-25 23:23:14,872 - INFO - Scanning file: ./cve_dataset/train/cwe-190.jsonl
2024-04-25 23:23:16,066 - INFO - ImagingLibTiffDecode, cwe-190, 1, 1
2024-04-25 23:23:17,598 - INFO - ImagingLibTiffDecode, cwe-190, 0, 1
2024-04-25 23:23:20,539 - INFO - futex_requeue, cwe-190, 1, 1
2024-04-25 23:23:21,400 - INFO - futex_requeue, cwe-190, 0, 1
2024-04-25 23:23:22,449 - INFO - _gd2GetHeader, cwe-190, 1, 1
2024-04-25 23:23:23,475 - INFO - _gd2GetHeader, cwe-190, 0, 1
2024-04-25 23:23:24,622 - INFO - jpc_pi_nextcprl, cwe-190, 1, 1
2024-04-25 23:23:25,423 - INFO - jpc_pi_nextcprl, cwe-190, 0, 1
2024-04-25 23:23:26,681 - INFO - process_get_command, cwe-190, 1, 1
2024-04-25 23:23:27,655 - INFO - process_get_command, cwe-190, 0, 1
2024-04-25 23:23:28,467 - INFO - Exiv2::WebPImage::getHeaderOffset, cwe-190, 1, 1
2024-04-25 23:23:29,493 - INFO - Exiv2::WebPImage::getHeaderOffset, cwe-190, 0, 1
2024-04-25 23:23:30,306 - INFO - ring_buffer_resize, cwe-190, 1, 1
2024-04-25 23:23:31,422 - INFO - ring_buffer_resize, cwe-190, 0, 1
2024-04-25 23:23:32,654 - INFO - rwpng_read_image24_libpng, cwe-190, 1, 1
2024-04-25 23:23:33,569 - INFO - rwpng_read_image24_libpng, cwe-190, 0, 1
2024-04-25 23:23:34,492 - INFO - UnicodeString::doAppend, cwe-190, 1, 1
2024-04-25 23:23:35,326 - INFO - UnicodeString::doAppend, cwe-190, 0, 1
2024-04-25 23:23:36,400 - INFO - WriteBMPImage, cwe-190, 1, 1
2024-04-25 23:23:37,588 - INFO - WriteBMPImage, cwe-190, 0, 1
2024-04-25 23:23:38,696 - INFO - AllocateDataSet, cwe-190, 1, 1
2024-04-25 23:23:39,719 - INFO - AllocateDataSet, cwe-190, 0, 1
2024-04-25 23:23:40,384 - INFO - vc4_get_bcl, cwe-190, 1, 0
2024-04-25 23:23:41,510 - INFO - vc4_get_bcl, cwe-190, 0, 1
2024-04-25 23:23:42,682 - INFO - TIFFSeekCustomStream, cwe-190, 1, 1
2024-04-25 23:23:43,773 - INFO - TIFFSeekCustomStream, cwe-190, 0, 1
2024-04-25 23:23:44,797 - INFO - perf_cpu_time_max_percent_handler, cwe-190, 1, 1
2024-04-25 23:23:45,721 - INFO - perf_cpu_time_max_percent_handler, cwe-190, 0, 1
2024-04-25 23:23:46,938 - INFO - git_delta_apply, cwe-190, 1, 1
2024-04-25 23:23:48,109 - INFO - git_delta_apply, cwe-190, 0, 1
2024-04-25 23:23:48,943 - INFO - uvesafb_setcmap, cwe-190, 1, 1
2024-04-25 23:23:49,957 - INFO - uvesafb_setcmap, cwe-190, 0, 1
2024-04-25 23:23:50,788 - INFO - b_unpack, cwe-190, 1, 1
2024-04-25 23:23:51,616 - INFO - b_unpack, cwe-190, 0, 1
2024-04-25 23:23:52,530 - INFO - copyaudiodata, cwe-190, 1, 0
2024-04-25 23:23:53,601 - INFO - copyaudiodata, cwe-190, 0, 1
2024-04-25 23:23:54,465 - INFO - _zend_hash_init, cwe-190, 1, 1
2024-04-25 23:23:55,968 - INFO - _zend_hash_init, cwe-190, 0, 1
2024-04-25 23:23:56,747 - INFO - Perl_re_op_compile, cwe-190, 1, 1
2024-04-25 23:23:57,921 - INFO - Perl_re_op_compile, cwe-190, 0, 1
2024-04-25 23:23:59,067 - INFO - mem_check_range, cwe-190, 1, 1
2024-04-25 23:23:59,899 - INFO - mem_check_range, cwe-190, 0, 1
