func_name, pred_label, true_label
rfbHandleAuthResult, 1, 1
rfbHandleAuthResult, 0, 0
jbig2_image_compose, 1, 1
jbig2_image_compose, 1, 0
next_state_class, 1, 1
next_state_class, 1, 0
mpol_parse_str, 1, 1
mpol_parse_str, 1, 0
keycompare_mb, 1, 1
keycompare_mb, 1, 0
next_state_val, 1, 1
next_state_val, 1, 0
cbs_jpeg_split_fragment, 1, 1
cbs_jpeg_split_fragment, 1, 0
avcodec_align_dimensions2, 1, 1
avcodec_align_dimensions2, 1, 0
ContentLine_Analyzer::DoDeliverOnce, 1, 1
ContentLine_Analyzer::DoDeliverOnce, 1, 0
idn2_to_ascii_4i, 1, 1
idn2_to_ascii_4i, 1, 0
blosc_c, 1, 1
blosc_c, 1, 0
re2c::Scanner::fill, 1, 1
re2c::Scanner::fill, 1, 0
input_csi_dispatch_sgr_colon, 1, 1
input_csi_dispatch_sgr_colon, 1, 0
enl_ipc_get, 1, 1
enl_ipc_get, 1, 0
xdp_umem_reg, 0, 1
xdp_umem_reg, 1, 0
gps_tracker, 1, 1
gps_tracker, 1, 0
tcp_test, 0, 1
tcp_test, 1, 0
mapi_attr_read, 1, 1
mapi_attr_read, 1, 0
WritePSDChannel, 0, 1
WritePSDChannel, 1, 0
flb_gzip_compress, 1, 1
flb_gzip_compress, 1, 0
sc_oberthur_read_file, 1, 1
sc_oberthur_read_file, 1, 0
tflite::ops::builtin::segment_sum::ResizeOutputTensor, 1, 1
tflite::ops::builtin::segment_sum::ResizeOutputTensor, 1, 0
mwifiex_ret_wmm_get_status, 1, 1
mwifiex_ret_wmm_get_status, 1, 0
patch, 1, 1
patch, 1, 0
HandleRFBServerMessage, 1, 1
HandleRFBServerMessage, 1, 0
enc_untrusted_create_wait_queue, 0, 1
enc_untrusted_create_wait_queue, 1, 0
FromkLinuxSockAddr, 1, 1
FromkLinuxSockAddr, 1, 0
opj_pi_create_decode, 1, 1
opj_pi_create_decode, 1, 0
opj_j2k_set_cinema_parameters, 0, 1
opj_j2k_set_cinema_parameters, 1, 0
adminchild, 1, 1
adminchild, 1, 0
ecall_restore, 0, 1
ecall_restore, 1, 0
handle_PORT, 1, 1
handle_PORT, 1, 0
rom_copy, 1, 1
rom_copy, 1, 0
NeXTDecode, 1, 1
NeXTDecode, 1, 0
TiledInputFile::rawTileData, 0, 1
TiledInputFile::rawTileData, 1, 0
tcos_decipher, 1, 1
tcos_decipher, 1, 0
decode_zbuf, 0, 1
decode_zbuf, 1, 0
MultiPartInputFile::Data::chunkOffsetReconstruction, 1, 1
MultiPartInputFile::Data::chunkOffsetReconstruction, 1, 0
make_canonical, 1, 1
make_canonical, 1, 0
decode_frame, 1, 1
decode_frame, 1, 0
add_password, 1, 1
add_password, 1, 0
unicode_unfold_key, 1, 1
unicode_unfold_key, 1, 0
PHP_FUNCTION, 0, 1
PHP_FUNCTION, 0, 0
rfbProcessFileTransferReadBuffer, 1, 1
rfbProcessFileTransferReadBuffer, 1, 0
track_header, 1, 1
track_header, 1, 0
yaffsfs_istat, 1, 1
yaffsfs_istat, 1, 0
InsertRow, 1, 1
InsertRow, 1, 0
rds_rdma_extra_size, 1, 1
rds_rdma_extra_size, 1, 0
decode_frame, 1, 1
decode_frame, 1, 0
concat_opt_exact_str, 1, 1
concat_opt_exact_str, 1, 0
